Survey_ID,Class,Question,D_Value,L_Confidence,H_Confidence,P_ID
500939,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,38.6,34.8,42.5,1039
500940,Physical Activity,Percent of adults who engage in no leisure-time physical activity,16.9,14.4,19.6,1040
500941,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,29.9,24.3,36.1,1041
500942,Physical Activity,Percent of adults who engage in no leisure-time physical activity,41.3,34.8,48.1,1042
500943,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,31.8,28.1,35.6,1043
500944,Physical Activity,Percent of adults who engage in no leisure-time physical activity,21.4,17.4,26.2,1044
500945,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,37.4,33.7,41.2,1045
500946,Physical Activity,Percent of adults who engage in no leisure-time physical activity,35.5,30.3,41,1046
500947,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,36.1,32.1,40.3,1047
500948,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,28.3,24.1,33,1048
500949,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,26.6,22.3,31.4,1049
500950,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,37,31.8,42.6,1050
500951,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,35.1,31.4,39,1051
500952,Physical Activity,Percent of adults who engage in no leisure-time physical activity,19.8,17.6,22.1,1052
500953,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,27,23.7,30.6,1053
500954,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,37.5,32.4,42.8,1054
500955,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,27.4,22.3,33.2,1055
500956,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,31.4,26.8,36.3,1056
500957,Physical Activity,Percent of adults who engage in no leisure-time physical activity,24.4,21.4,27.7,1057
500958,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,33.3,30.2,36.5,1058
500959,Physical Activity,Percent of adults who engage in no leisure-time physical activity,30.1,25.4,35.2,1059
500960,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,33.9,29.8,38.2,1060
500961,Physical Activity,Percent of adults who engage in no leisure-time physical activity,20.8,17.7,24.3,1061
500962,Physical Activity,Percent of adults who engage in no leisure-time physical activity,33.1,27.6,39.2,1062
500963,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,39.8,36.1,43.5,1063
500964,Physical Activity,Percent of adults who engage in no leisure-time physical activity,45.9,40.2,51.7,1064
500965,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,33.2,30,36.6,1065
500966,Physical Activity,Percent of adults who engage in no leisure-time physical activity,54.8,52.1,57.4,1066
500967,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,32.9,28.4,37.7,1067
500968,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,38.4,33.6,43.4,1068
500969,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,32.8,29.1,36.7,1069
500970,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,38.9,34.9,43.1,1070
500971,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,38.7,34.3,43.2,1071
500972,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,35,31.3,38.9,1072
500973,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,36.1,30.1,42.5,1073
500974,Physical Activity,Percent of adults who engage in no leisure-time physical activity,24.3,20.2,28.9,1074
500975,Physical Activity,Percent of adults who engage in no leisure-time physical activity,36.8,32.4,41.4,1075
500976,Physical Activity,Percent of adults who engage in no leisure-time physical activity,35,30.7,39.6,1076
500977,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,31.9,30,33.9,1077
500978,Physical Activity,Percent of adults who engage in no leisure-time physical activity,22.9,20.7,25.4,1078
500979,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,39.7,34.2,45.4,1079
500980,Physical Activity,Percent of adults who engage in no leisure-time physical activity,19.3,17.2,21.6,1080
500981,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,30.8,25.8,36.3,1081
500982,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,30,25.8,34.5,1082
500983,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,33.3,30.3,36.4,1083
500984,Physical Activity,Percent of adults who engage in no leisure-time physical activity,29.9,25.7,34.6,1084
500985,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,38.8,35.5,42.3,1085
500986,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,37.1,32.3,42.2,1086
500987,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29.4,24.8,34.5,1087
500988,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,33.7,29.6,38.1,1088
500989,Physical Activity,Percent of adults who engage in no leisure-time physical activity,12.6,10.9,14.6,1089
500990,Physical Activity,Percent of adults who engage in no leisure-time physical activity,34.9,31.6,38.5,1090
500991,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,39.9,34.6,45.4,1091
500992,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,33.3,30.2,36.6,1092
500993,Physical Activity,Percent of adults who engage in no leisure-time physical activity,25.6,19.8,32.5,1093
500994,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,35.8,31.8,40.1,1094
500995,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,34.8,30.1,39.7,1095
500996,Physical Activity,Percent of adults who engage in no leisure-time physical activity,26.6,22.7,30.8,1096
500997,Physical Activity,Percent of adults who engage in no leisure-time physical activity,43.4,37.6,49.3,1097
500998,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,34.4,30.5,38.6,1098
500999,Physical Activity,Percent of adults who engage in no leisure-time physical activity,25.2,19.8,31.5,1099
501000,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,28.7,25,32.8,1100
501001,Physical Activity,Percent of adults who engage in no leisure-time physical activity,20.3,17.4,23.5,1101
501002,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,25.1,21.1,29.5,1102
501003,Physical Activity,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,22.2,15.5,30.8,1103
501004,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,27.3,22.5,32.7,1104
501005,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,32.7,27.5,38.2,1105
501006,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,34.4,28.7,40.6,1106
501007,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,35.6,32.2,39,1107
501008,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,28.7,26.3,31.2,1108
501009,Physical Activity,Percent of adults who engage in no leisure-time physical activity,41.6,36.9,46.5,1109
501010,Physical Activity,Percent of adults who engage in no leisure-time physical activity,22.7,18.1,28.1,1110
501011,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,37.9,31.9,44.2,1111
501012,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,34.6,30.5,38.9,1112
501013,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,43.7,38.4,49,1113
501014,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,36.2,32.6,40,1114
501015,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,34.5,28.1,41.5,1115
501016,Physical Activity,Percent of adults who engage in no leisure-time physical activity,6.1,4.9,7.7,1116
501017,Physical Activity,Percent of adults who engage in no leisure-time physical activity,32.6,27.4,38.2,1117
501018,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,22.9,20.1,26,1118
501019,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,32.1,28.9,35.4,1119
501020,Physical Activity,Percent of adults who engage in no leisure-time physical activity,30,26.4,33.8,1120
501021,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,31.7,28.1,35.5,1121
501022,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,25.7,21.9,29.8,1122
501023,Physical Activity,Percent of adults who engage in no leisure-time physical activity,42.6,34.9,50.6,1123
501024,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,28.7,24,33.8,1124
501025,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,42.5,38.3,46.7,1125
501026,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,25.3,19.7,31.8,1126
501027,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,22.4,19.9,25.2,1127
501028,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,34,30.6,37.7,1128
501029,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,24.9,23.2,26.7,1129
501030,Physical Activity,Percent of adults who engage in no leisure-time physical activity,12.1,9.9,14.7,1130
501031,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,32.5,29.5,35.7,1131
501032,Physical Activity,Percent of adults who engage in no leisure-time physical activity,20.3,17.4,23.4,1132
501033,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,35.6,28.5,43.4,1133
501034,Physical Activity,Percent of adults who engage in no leisure-time physical activity,26.3,22.2,30.7,1134
501035,Physical Activity,Percent of adults who engage in no leisure-time physical activity,36.4,33,40,1135
501036,Physical Activity,Percent of adults who engage in no leisure-time physical activity,47.4,43,51.7,1136
501037,Physical Activity,Percent of adults who engage in no leisure-time physical activity,25.3,21.4,29.7,1137
501038,Physical Activity,Percent of adults who engage in no leisure-time physical activity,30.4,26.9,34,1138
501039,Physical Activity,Percent of adults who engage in no leisure-time physical activity,25.6,22,29.6,1139
501040,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,38.7,30.7,47.4,1140
501041,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,37.9,34.6,41.3,1141
501042,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,34.1,29.1,39.4,1142
501043,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,23.9,18.1,30.8,1143
501044,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,34.8,30,40,1144
501045,Physical Activity,Percent of adults who engage in no leisure-time physical activity,34,30.8,37.4,1145
501046,Physical Activity,Percent of adults who engage in no leisure-time physical activity,41.4,30,53.8,1146
501047,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,27.9,21.9,34.8,1147
501048,Physical Activity,Percent of adults who engage in no leisure-time physical activity,32.8,27,39.2,1148
501049,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,31.8,24.6,40,1149
501050,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,38.6,35.3,42,1150
501051,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,33.3,28.3,38.7,1151
501052,Physical Activity,Percent of adults who engage in no leisure-time physical activity,13.4,11.3,15.7,1152
501053,Physical Activity,Percent of adults who engage in no leisure-time physical activity,34.6,30.8,38.7,1153
501054,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,39.2,32.5,46.4,1154
501055,Physical Activity,Percent of adults who engage in no leisure-time physical activity,14,12.4,15.9,1155
501056,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29.9,27.5,32.5,1156
501057,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,25.3,21.6,29.3,1157
501058,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,33.4,26.9,40.5,1158
501059,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,28.9,20,39.9,1159
501060,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,26.6,24.9,28.4,1160
501061,Physical Activity,Percent of adults who engage in no leisure-time physical activity,25,21,29.5,1161
501062,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,31.1,26.6,36,1162
501063,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,32,28.8,35.5,1163
501064,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,33.6,29.8,37.5,1164
501065,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,26.9,24.4,29.6,1165
501066,Physical Activity,Percent of adults who engage in no leisure-time physical activity,22.2,19.9,24.7,1166
501067,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,31.7,23.8,40.9,1167
501068,Physical Activity,Percent of adults who engage in no leisure-time physical activity,26.5,24.6,28.4,1168
501069,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,37.8,31.6,44.3,1169
501070,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,30.6,26.1,35.4,1170
501071,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,29.3,24.3,34.9,1171
501072,Physical Activity,Percent of adults who engage in no leisure-time physical activity,37.7,29.6,46.5,1172
501073,Physical Activity,Percent of adults who engage in no leisure-time physical activity,25.5,22.7,28.4,1173
501074,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,33.8,30.2,37.7,1174
501075,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,21.8,18.2,26,1175
501076,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,31.9,27.9,36.2,1176
501077,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,33.7,28,39.9,1177
501078,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,36.9,33.6,40.4,1178
501079,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,30.9,26.3,36,1179
501080,Physical Activity,Percent of adults who engage in no leisure-time physical activity,25.9,21.9,30.3,1180
501081,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,34.9,27.9,42.7,1181
501082,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,34.6,30,39.5,1182
501083,Physical Activity,Percent of adults who engage in no leisure-time physical activity,30.8,24.3,38.3,1183
501084,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,37.5,29.1,46.6,1184
501085,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,37.4,35.4,39.4,1185
501086,Physical Activity,Percent of adults who engage in no leisure-time physical activity,38.4,30.3,47.1,1186
501087,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,35.4,30.2,41,1187
501088,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,33.7,29.7,38,1188
501089,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,21.1,17.4,25.3,1189
501090,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,35.9,32,40.1,1190
501091,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29.7,26.3,33.2,1191
501092,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,31.4,25.8,37.5,1192
501093,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,39.2,33.4,45.4,1193
501094,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,31.5,23.7,40.4,1194
501095,Physical Activity,Percent of adults who engage in no leisure-time physical activity,27.2,22.3,32.8,1195
501096,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,22.3,18,27.3,1196
501097,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29.5,27.9,31.2,1197
501098,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,33.6,28.6,39.1,1198
501099,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,23.2,19.9,26.9,1199
501100,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,39.3,31.1,48.2,1200
501101,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,30.2,24.7,36.3,1201
501102,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,34.7,29.9,39.7,1202
501103,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,38.8,35.4,42.3,1203
501104,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,33.5,28.6,38.7,1204
501105,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,33.5,28.2,39.2,1205
501106,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,34.7,32.3,37.2,1206
501107,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,39,34.5,43.7,1207
501108,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,34.2,30.7,37.8,1208
501109,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,35.3,32.3,38.3,1209
501110,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,24.3,21.5,27.3,1210
501111,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,35.4,30.8,40.3,1211
501112,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,23.5,18.8,28.9,1212
501113,Physical Activity,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),42,35.7,48.5,1213
501114,Physical Activity,Percent of adults who engage in no leisure-time physical activity,23.1,20.5,25.8,1214
501115,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,31.2,27.2,35.4,1215
501116,Physical Activity,Percent of adults who engage in no leisure-time physical activity,27.8,22.4,33.9,1216
501117,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,30.6,27.4,34,1217
501118,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,29.6,24.1,35.6,1218
501119,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,41.4,34,49.2,1219
501120,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,36.7,32,41.8,1220
501121,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,29.2,24.5,34.4,1221
501122,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,39,33.2,45.2,1222
501123,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,27.3,23.6,31.2,1223
501124,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,32.8,28.2,37.7,1224
501125,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,33.9,28.9,39.3,1225
501126,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,28.7,23.4,34.7,1226
501127,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,37.4,35.1,39.7,1227
501128,Physical Activity,Percent of adults who engage in no leisure-time physical activity,32.6,28.3,37.3,1228
501129,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,26.8,22.2,32.1,1229
501130,Physical Activity,Percent of adults who engage in no leisure-time physical activity,31.6,27.2,36.4,1230
501131,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29.7,26.2,33.4,1231
501132,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,33.3,30.2,36.5,1232
501133,Physical Activity,Percent of adults who engage in no leisure-time physical activity,27.8,25.1,30.8,1233
501134,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,23.1,19.3,27.3,1234
501135,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,37.9,30.7,45.6,1235
501136,Physical Activity,Percent of adults who engage in no leisure-time physical activity,13.5,11.3,16.1,1236
501137,Physical Activity,Percent of adults who engage in no leisure-time physical activity,13.1,11,15.6,1237
501138,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,30.6,26.6,35,1238
501139,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,35.2,31.5,39.2,1239
501140,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,36.5,30.6,42.8,1240
501141,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,39.8,36.9,42.9,1241
501142,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,37.3,33.4,41.3,1242
501143,Physical Activity,Percent of adults who engage in no leisure-time physical activity,20.2,16.6,24.3,1243
501144,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,37.9,34.6,41.4,1244
501145,Physical Activity,Percent of adults who engage in no leisure-time physical activity,33.9,30.5,37.5,1245
501146,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,26.1,21.1,31.8,1246
501147,Physical Activity,Percent of adults who engage in no leisure-time physical activity,16.7,14.6,19,1247
501148,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,36.2,31.8,40.8,1248
501149,Physical Activity,Percent of adults who engage in no leisure-time physical activity,28,24,32.4,1249
501150,Physical Activity,Percent of adults who engage in no leisure-time physical activity,28.4,23.5,33.9,1250
501151,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,27.5,23.4,31.9,1251
501152,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,29.5,25.6,33.7,1252
501153,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,28.2,25.2,31.4,1253
501154,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,33.8,28.8,39.1,1254
501155,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,30.3,23.1,38.6,1255
501156,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,35.9,30.6,41.6,1256
501157,Physical Activity,Percent of adults who engage in no leisure-time physical activity,8.8,7.3,10.5,1257
501158,Physical Activity,Percent of adults who engage in no leisure-time physical activity,36,30.2,42.1,1258
501159,Physical Activity,Percent of adults who engage in no leisure-time physical activity,35.2,30.8,39.8,1259
501160,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,24.7,22.6,27,1260
501161,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,27.1,21.9,33,1261
501162,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,30.7,25.6,36.3,1262
501163,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,32.7,29.5,36.1,1263
501164,Physical Activity,Percent of adults who engage in no leisure-time physical activity,12.9,9.9,16.7,1264
501165,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,36.4,33.2,39.7,1265
501166,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,36.3,32,40.7,1266
501167,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,27.1,21.3,33.6,1267
501168,Physical Activity,Percent of adults who engage in no leisure-time physical activity,32.4,26.4,39.1,1268
501169,Physical Activity,Percent of adults who engage in no leisure-time physical activity,10.2,7.9,13.1,1269
501170,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,37.4,33.4,41.5,1270
501171,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,36.2,29.4,43.5,1271
501172,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,23.5,20.3,27.1,1272
501173,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,33.5,29.3,37.9,1273
501174,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,39.6,35.2,44.1,1274
501175,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,33.5,28.5,38.9,1275
501176,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,30.7,28.2,33.3,1276
501177,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,27.8,23.4,32.6,1277
501178,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,25.2,18.7,32.9,1278
501179,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,37,34.3,39.7,1279
501180,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,37.1,33.2,41.2,1280
501181,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,35.5,30.9,40.3,1281
501182,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,32.2,27.4,37.4,1282
501183,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,34.9,30.8,39.2,1283
501184,Physical Activity,Percent of adults who engage in no leisure-time physical activity,22.9,18.2,28.3,1284
501185,Physical Activity,Percent of adults who engage in no leisure-time physical activity,25.1,21.5,29,1285
501186,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,31.3,28,34.8,1286
501187,Physical Activity,Percent of adults who engage in no leisure-time physical activity,28.4,25.4,31.7,1287
501188,Physical Activity,Percent of adults who engage in no leisure-time physical activity,23.3,19.7,27.4,1288
501189,Physical Activity,Percent of adults who engage in no leisure-time physical activity,15.7,13.2,18.5,1289
501190,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,32.1,27.7,36.8,1290
501191,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,33.3,27.4,39.8,1291
501192,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,26.6,22.6,31.1,1292
501193,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,34.6,26.9,43.2,1293
501194,Physical Activity,Percent of adults who engage in no leisure-time physical activity,38.2,33.1,43.5,1294
501195,Physical Activity,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),53.5,43.5,63.2,1295
501196,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,34.1,26.8,42.4,1296
501197,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,31.2,27.1,35.6,1297
501198,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29.7,27.7,31.8,1298
501199,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,36.9,34,40,1299
501200,Physical Activity,Percent of adults who engage in no leisure-time physical activity,25.9,22.5,29.7,1300
501201,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,40.7,29.2,53.2,1301
501202,Physical Activity,Percent of adults who engage in no leisure-time physical activity,20.4,16.9,24.4,1302
501203,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,38.5,33.7,43.5,1303
501204,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,35.4,30.3,41,1304
501205,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,28.4,23.1,34.4,1305
501206,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,38.3,31.3,45.7,1306
501207,Physical Activity,Percent of adults who engage in no leisure-time physical activity,33.4,30,36.9,1307
501208,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,31.2,25.9,37,1308
501209,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,46.1,41.2,51,1309
501210,Physical Activity,Percent of adults who engage in no leisure-time physical activity,27.7,24.8,30.8,1310
501211,Physical Activity,Percent of adults who engage in no leisure-time physical activity,32.1,27.4,37.1,1311
501212,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,32.6,28.4,37.2,1312
501213,Physical Activity,Percent of adults who engage in no leisure-time physical activity,23.2,15.5,33.3,1313
501214,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,33.3,29.6,37.2,1314
501215,Physical Activity,Percent of adults who engage in no leisure-time physical activity,43.3,37.2,49.5,1315
501216,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,38.7,35.4,42,1316
501217,Physical Activity,Percent of adults who engage in no leisure-time physical activity,25.8,23.6,28.1,1317
501218,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,33,29.3,36.9,1318
501219,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,38.8,35.6,42.1,1319
501220,Physical Activity,Percent of adults who engage in no leisure-time physical activity,37,32.8,41.3,1320
501221,Physical Activity,Percent of adults who engage in no leisure-time physical activity,27.9,23.7,32.6,1321
501222,Physical Activity,Percent of adults who engage in no leisure-time physical activity,41.6,37,46.3,1322
